nome,texto,data_post,palavra_chave,is_palavrao,cidade,sentiment,id_ref
@BancariosA,"Interromper o atendimento ao público é a última opção, mas quando as condições de trabalho e atendimento se tornam insuportáveis, é hora de agir. A segurança e o bem-estar dos empregados e clientes não pode estar em risco!",2024-10-24 14:46:01,seguranca,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.331
@valterbrito2024,"PORQUE FlavioDino AINDA NÃO PRENDEU SÍLVIO ALMEIDA?

CONSTITUINTE: PELO FATO DE NÃO TER O DIREITO DE FAZÊ-LO, SEM O DEVIDO PROCESSO LEGAL!

E OS 1200 PRESOS DO GOLPE DE ARARAQUARA, EM 8 DE JANEIRO DE 2023?

ALEXANDRE DE MORAES E MINISTROS DO STF: FODA-SE O DEVIDO PROCESSO LEGAL",2024-10-18 21:09:21,golpe,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.462
@BancariosA," Febraban lança alerta sobre novos golpes digitais na praça

Federação reforça que “banco nunca pede para você dizer a senha”, ajudando a desmistificar os processos e se atentar sobre os cuidados necessários. Se acontecer com você, desliga que é golpe!

https://bancariosararaquara.org.br/verNoticia/proteja-se-febraban-lanca-alerta-sobre-novos-golpes-digitais-na-praca…",2024-10-18 14:37:25,golpe,False,Araraquara,positive,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.463
@valterbrito2024,"JÁ SE PERGUNTOU ?

SE 
@jairbolsonaro
 ESTAVA DANDO UM GOLPE, PORQUE 
@LulaOficial
 FUGIU NAQUELE DIA PARA ESTAR COM EDINHO SILVA EM ARARAQUARA E O  
@FlavioDino
, QUE ESTAVA EM SEU GABINETE EM BRASÍLIA, APAGOU TODAS AS CÂMERAS QUE CONTINHAM AS PROVAS DO CRIME?

QUAL MINISTRO FAZ ISSO?",2024-10-18 07:23:46,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.464
@gadianama,"revoltada ouvindo projeto humanos, como que a polícia era e ainda é tão incompetente?? Esse ano em Araraquara, um moço que frequentava o sebo foi encontrado morto em casa com 30 facadas na barriga e a polícia falou que era um possível suicídio...",2024-10-17 22:52:11,policia,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.465
@gracinhalara,"A vovó escorregando no senado e ainda acham que foi golpe... e o presidente em Araraquara.... é muita imaginação!

JOÃO, você é BOBO ou BABÃO",2024-10-17 22:45:49,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.466
@BeteChaia,"Um golpe, onde o Presidente da República, com informações que, baderneiros estariam chegando em Brasília, embarca no avião bem cedo pra Araraquara, do amigo Edinho! Ou seja, o proprietário do imóvel, sai e deixa a porta aberta pra ser roubada, bem por aí!",2024-10-17 11:30:30,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.467
@jardel_bronca,"Enquanto mtos estão sem comer a picanha.....Lula está de novo sendo investigado por propina no caso da compras dos caças...( ZELOTES)
Ladrão sempre ladrão.
Nem em Araraquara.....venceram a eleição.",2024-10-15 17:49:03,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.468
@BancariosA,"Lula sanciona Lei que amplia para até 40 anos a pena para casos de feminicídio

Texto também define o feminicídio como crime autônomo, o que facilita a formulação de estatísticas precisas, e amplia pena para lesão corporal e violência doméstica.",2024-10-15 14:13:15,feminicidio,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.469
@AnaEstr16247105,"Cont. ,Por que ,quando o haker de Araraquara denunciou a devassa na vida de Bolsonaro, filhos e Adélio ,pelo psd antes do atentado ,essa turma tão "" certinha"" ,não defendeu o Presidente ,exigindo explicações a polícia sobre isso  ? Mas nao, nem um pio. Ignoraram !Hipocrisia !",2024-10-14 13:33:17,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.470
@Eduardo_B38,Tenho orgulho de ter ajudado a tirar teu candidato daqui de Araraquara. #PTNuncaMais,2024-10-12 00:29:51,,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.471
@peco20370,"Não podem contestar o relatório da ABIN
Flávio Dino, ministro da justiça e segurança pública, virou um dinossauro inerte, Lula fica ao celular fazendo o que ninguém sabe, às 17:30 pega seu avião presidencial e ruma a Araraquara deixando Brasília devastada.",2024-10-12 00:28:35,seguranca,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.472
@valterbrito2024,"LEMBRO À TODOS, QUE NENHUMA MEDIDA CORRETIVA SOBREPÕE A NECESSIDADE DE IMPEACHMENT DE ALEXANDRE DE MORAES;

MORAES NÃO PRATICOU SOMENTE ABUSOS, MAS CRIME DE LESA PÁTRIA, FRAUDE ELEITORAL E HOMICÍDIOS DOLOSOS E CULPOSOS CONTRA PERSEGUIDOS DE 8 DE JANEIRO, ""O GOLPE DE ARARAQUARA""!",2024-10-11 16:10:20,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.473
@ylidio3,O que demonstra  que o bandido  do Edinho foi eleito pelo TSE duas vezes. O povo de Araraquara não é  idiota.,2024-10-09 01:40:37,bandido,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.474
@adcmultimidia,"edinho ferrou com muita gente ,teve pessoas que perderam seus empregos na pandemia e a vigilancia sanitaria processou as pessoas que  teve que sair para trabalhar,por isso sai de araraquara,agora moro em sao carlos ,mas fico feliz que araraquara se libertou do comunismo .",2024-10-08 23:27:55,vigilancia,False,Araraquara,positive,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.475
@PauloHe14580994,Esse bandido devia estar é preso!!! Quase mata o povo de fome da pademia!! Fechou tudo em Araraquara!!!,2024-10-08 01:00:33,bandido,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.476
@Eduardo_B38,Aqui em Araraquara tiramos o PT,2024-10-07 13:29:36,,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.477
@Eduardo_B38,"Perdeu aqui em Araraquara. Ipi, ipi, hurra.",2024-10-07 00:59:17,,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.478
@portalemtempo,"A Polícia Federal (PF) prendeu nesta terça-feira (24) um homem que fabricava armas de fogo caseiras com uso de impressora 3D, em Araraquara, no interior paulista. No momento da prisão em flagrante, osagentes encontraram uma submetralhadora em processo
https://emtempo.com.br/338081/policia/pf-prende-homem-que-fabricava-armas-com-impressora-3d/…",2024-09-24 22:51:59,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.479
@adcmultimidia,"edinho ferrou com muita gente ,teve pessoas que perderam seus empregos na pandemia e a vigilancia sanitaria processou as pessoas que  teve que sair para trabalhar,por isso sai de araraquara,agora moro em sao carlos ,mas fico feliz que araraquara se libertou do comunismo .",2024-10-08 23:27:55,vigilancia,False,Araraquara,positive,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.643
@PauloHe14580994,Esse bandido devia estar é preso!!! Quase mata o povo de fome da pademia!! Fechou tudo em Araraquara!!!,2024-10-08 01:00:33,bandido,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.644
@Eduardo_B38,Aqui em Araraquara tiramos o PT,2024-10-07 13:29:36,,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.645
@Eduardo_B38,"Perdeu aqui em Araraquara. Ipi, ipi, hurra.",2024-10-07 00:59:17,,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.646
@portalemtempo,"A Polícia Federal (PF) prendeu nesta terça-feira (24) um homem que fabricava armas de fogo caseiras com uso de impressora 3D, em Araraquara, no interior paulista. No momento da prisão em flagrante, osagentes encontraram uma submetralhadora em processo
https://emtempo.com.br/338081/policia/pf-prende-homem-que-fabricava-armas-com-impressora-3d/…",2024-09-24 22:51:59,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.647
@mataourgentebot," Alerta de queimadas e calor extremo em Matão, Araraquara e Bauru!  Humidade do ar abaixo de 20%. Lembrando, colocar fogo no mato é crime! #PrevençãoAoFogo #HidrateSe 

https://tinyurl.com/4fvkmzsr",2024-09-04 14:01:16,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.648
@mataourgentebot," Alerta de calor extremo e risco de incêndios em Matão, Araraquara e Bauru! Hidrate-se e evite queimadas, é crime! #PrevençãoAIncêndios #CalorEmSP 

https://tinyurl.com/4fvkmzsr",2024-09-04 12:02:58,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.649
@s_lonardi,Ops! O ladrao condenado q vc ficou alardeando grampos de quadrilheiros ( sera mesmo q eram de araraquara? Ou o edinho foi usado de ponte?) e ajudou a soltar!,2024-09-02 19:10:59,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.650
@defesacivilsp,"10:00 - Risco elevado para incêndios florestais nas regiões de Araraquara e Bauru. Redobre a atenção em áreas de vegetação seca. Não coloque fogo no mato, isso é crime ambiental! Como proceder: http://bit.ly/dcspestiagem #DefesaCivilProtegeVoce",2024-09-02 13:18:32,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.651
@Dan60taiada,Pois no 8 de janeiro o ladrão condenado festejava em um churrasco em Araraquara.,2024-09-01 16:20:51,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.652
@defesacivilsp,"09:50 - Risco elevado para incêndios florestais nas regiões de Araraquara. Redobre a atenção em áreas de vegetação seca. Não coloque fogo no mato, isso é crime ambiental! Como proceder: http://bit.ly/dcspincendio #DefesaCivilProtegeVoce",2024-08-29 12:56:58,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.653
@Damio23486167,Lula e corrupto ladrão fim de conversa,2024-08-29 01:12:43,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.654
@laizact,"nunca tinha ligado nem pra polícia nem pra ambulância, menos de um ano presenciando acontecimentos em araraquara já liguei pros dois",2024-08-28 02:17:22,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.655
@araraquara20,"Gnt ela pode ter feito n coisas erradas de ter divulgado golpe e tal, mas o que ela falou não tá ""errado"" não. Por exemplo, se foi dado a ela 6 meses de vida ela é uma paciente terminal, mas se a doença se estabilizou a ponto de não ter mais previsão de morte ela se torna uma+",2024-08-27 22:13:00,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.656
@s1ttinha,"Mano, cadê a polícia de trânsito de Araraquara??? PQ NÃO TEM UMA PESSOA NESSA CIDADE Q SABE DIRIGIR, o mesmo cara andou uns 10 min sem dar seta e não parou em NENHUM PARE, aí mais 5 carros q n dão seta, mais 3 q n pararam no pare, e esses arrombados não pegam uma multa",2024-08-27 20:14:07,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.657
@infovegbr,"Polícia Ambiental prende 2 pessoas, apreende 9 armas e animais abatidos em Araraquara https://ow.ly/LiNm50T6KRg via 
@g1",2024-08-27 14:50:15,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.658
@PortalAtanews,"Polícia Ambiental prende 2 pessoas, apreende 9 armas e animais abatidos em Araraquara",2024-08-27 11:22:29,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.659
@BancariosA,"A diretora do Sindicato, Samira Fernandes Borghi, denuncia a realidade enfrentada pelos trabalhadores nas agências, muito diferente da propagada pelos bancos em suas peças publicitárias milionárias.

Bora cobrar que os banqueiros valorizem os trabalhadores! #MerecemosRespeito",2024-08-26 16:34:22,denuncia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.660
@sergiobarros74,"Engraçado q em 08/01/23, o Ladrão “fez questão” de visitar Araraquara, do comparsa Edinho Silva, em solidariedade à “catástrofe” causada por uma garoa q borrifou a cidade.
Agora q metade da região de Ribeirão pegou fogo, ele ñ se sensibilizou e nem apareceu.

Foi #gópi, confie!",2024-08-26 12:05:23,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.661
@sergiobarros74,"Em 08/01/23, o Ladrão “fez questão” de visitar Araraquara, do comparsa Edinho Silva, em solidariedade à “catástrofe” causada por uma garoa q borrifou a cidade.
Agora q metade da região de Ribeirão pegou fogo, ele ñ se sensibilizou e nem deu as caras por aqui.
É curioso ou ñ é?",2024-08-26 11:41:55,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.662
@sergiobarros74,"Engraçado q em 08/01/23, o Ladrão “fez questão” de visitar Araraquara, do comparsa Edinho Silva, em solidariedade à “catástrofe” causada por uma garoa q borrifou a cidade.
Agora q metade da região de Ribeirão pegou fogo, ele ñ se sensibilizou e nem apareceu.

Foi #gópi, confie!",2024-08-26 11:04:29,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.663
@cacha0025,"Exato,esquerdistas fascistas como os do dia 8 infiltrados ordenados pelo líder o maior ladrão do país!vc acertou uma vez hein,só ver o dia 8 q dino sumiu com  as câmeras e lula do nada foi para Araraquara q quem e honesto sabe q foi a esquerda q armou!",2024-08-26 06:02:22,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.779
@Fernand63978422,"Inclusive o bandido do Ricardo Nunes em SP o Kalil em BH e Eduardo Paes no RJ Edinho Silva em Araraquara tem que serem presos e executados 
@AnaPaulaVolei",2024-08-25 12:00:07,bandido,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.780
@aggabriell,"Águas no sul, fogo no sudeste. 
As regiões que sustentam esse país e que não votam na esquerda. 
Será vingança? 
Pq crime, aqui em RP, a gente já sabe que houve.
Araraquara, prefeitura petista, alguém tem notícias? 
Perguntar não ofende. ‍",2024-08-24 01:27:40,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.781
@eijinishimori08,"Sorte tiveram os prefeitos cupinchas que receberam mais de um bilhão irregularmente. Araraquara do Edinho e companhia. Larga de ser fdp, ladrão de nove dedos.",2024-08-24 01:25:34,ladrao,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.782
